item_no,Category,Beverage,Prep,Calories,Total_Fat(g),Trans_Fat(g),Saturated_Fat(g),Sodium_(mg),Total_Carbohydrates(g),Cholesterol(mg),Dietary_Fibre(g),Sugars(g),Protein(g),Vitamin_A(% DV),Vitamin_C(% DV),Calcium(% DV),Iron(% DV),Caffeine(mg)
1141,Tazo® Tea Drinks,Tazo® Full-Leaf Tea Latte,Venti 2% Milk,230,5.0,2.5,0.2,20,125,38,0,38,9.0,15,0,30,0,varies
1142,Tazo® Tea Drinks,Tazo® Full-Leaf Tea Latte,Venti Soymilk,210,4.0,0.5,0.0,0,100,34,1,32,7.0,10,0,30,150,varies
1143,Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Short Nonfat Milk,80,0.1,0.1,0.0,0,45,16,0,16,4.0,6,0,10,0,0
1144,Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Short 2% Milk,90,2.0,1.0,0.1,10,50,15,0,15,3.0,6,0,10,0,0
1145,Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Short Soymilk,80,1.5,0.2,0.0,0,40,14,0,13,3.0,4,0,10,6,0
1146,Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Tall Nonfat Milk,120,0.1,0.1,0.0,5,65,23,0,23,5.0,10,0,20,0,0
1147,Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Tall 2% Milk,140,3.0,1.5,0.1,15,75,23,0,23,5.0,8,0,15,0,0
1148,Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Tall Soymilk,130,2.5,0.3,0.0,0,60,21,1,19,4.0,6,0,20,8,0
1149,Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Grande Nonfat Milk,150,0.2,0.1,0.0,5,85,31,0,31,7.0,15,0,25,0,0
1150,Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Grande 2% Milk,190,4.0,2.0,0.1,15,95,31,0,30,7.0,10,0,25,0,0
