item_no,Category,Beverage,Prep,Calories,Total_Fat(g),Trans_Fat(g),Saturated_Fat(g),Sodium_(mg),Total_Carbohydrates(g),Cholesterol(mg),Dietary_Fibre(g),Sugars(g),Protein(g),Vitamin_A(% DV),Vitamin_C(% DV),Calcium(% DV),Iron(% DV),Caffeine(mg)
1040,Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Venti Soymilk,270,7.0,1.0,0.0,0,160,39,2,33,12.0,15,0,45,20,150
1041,Classic Espresso Drinks,Caffè Americano,Short,5,0.0,0.0,0.0,0,5,1,0,0,0.4,0,0,0,0,75
1042,Classic Espresso Drinks,Caffè Americano,Tall,10,0.0,0.0,0.0,0,10,2,0,0,1.0,0,0,2,0,150
1043,Classic Espresso Drinks,Caffè Americano,Grande,15,0.0,0.0,0.0,0,15,3,0,0,1.0,0,0,2,0,225
1044,Classic Espresso Drinks,Caffè Americano,Venti,25,0.0,0.0,0.0,0,15,4,0,0,1.0,0,0,2,0,300
1045,Classic Espresso Drinks,Cappuccino,Short Nonfat Milk,50,0.1,0.1,0.0,5,60,8,0,7,5.0,8,0,15,0,75
1046,Classic Espresso Drinks,Cappuccino,Short 2% Milk,80,3.0,1.5,0.1,10,70,8,0,7,5.0,8,0,15,0,75
1047,Classic Espresso Drinks,Cappuccino,Short Soymilk,50,1.5,0.2,0.0,0,40,4,0,3,3.0,4,0,10,6,75
1048,Classic Espresso Drinks,Cappuccino,Tall Nonfat Milk,60,0.1,0.1,0.0,5,70,9,0,8,6.0,10,0,20,0,75
1049,Classic Espresso Drinks,Cappuccino,Tall 2% Milk,90,3.5,1.5,0.1,15,80,9,0,8,6.0,10,0,20,0,75
1050,Classic Espresso Drinks,Cappuccino,Tall Soymilk,70,3.0,0.4,0.0,0,65,7,1,4,5.0,6,0,20,8,75
1051,Classic Espresso Drinks,Cappuccino,Grande Nonfat Milk,80,0.2,0.1,0.0,5,90,12,0,10,8.0,15,0,25,0,150
1052,Classic Espresso Drinks,Cappuccino,Grande 2% Milk,120,4.0,2.0,0.1,15,100,12,0,10,8.0,10,0,25,0,150
1053,Classic Espresso Drinks,Cappuccino,Grande Soymilk,100,3.5,0.4,0.0,0,80,9,1,5,7.0,8,0,25,10,150
1054,Classic Espresso Drinks,Cappuccino,Venti Nonfat Milk,110,0.2,0.2,0.0,5,120,16,0,14,10.0,20,0,30,0,150
1055,Classic Espresso Drinks,Cappuccino,Venti 2% Milk,150,6.0,3.0,0.2,25,135,16,0,14,10.0,15,0,30,0,150
1056,Classic Espresso Drinks,Cappuccino,Venti Soymilk,120,4.5,0.5,0.0,0,110,11,1,7,9.0,10,0,35,15,150
1057,Classic Espresso Drinks,Espresso,Solo,5,0.0,0.0,0.0,0,0,1,0,0,0.4,0,0,0,0,75
1058,Classic Espresso Drinks,Espresso,Doppio,10,0.0,0.0,0.0,0,1,2,0,0,1.0,0,0,0,0,150
1059,Classic Espresso Drinks,Skinny Latte (Any Flavour),Short Nonfat Milk,60,0.1,0.1,0.0,5,80,9,0,8,6.0,10,0,20,0,75
1060,Classic Espresso Drinks,Skinny Latte (Any Flavour),Tall Nonfat Milk,100,0.2,0.1,0.0,5,125,14,0,13,9.0,15,0,30,0,75
1061,Classic Espresso Drinks,Skinny Latte (Any Flavour),Grande Nonfat Milk,120,0.3,0.2,0.0,5,160,18,0,16,12.0,20,0,35,0,150
1062,Classic Espresso Drinks,Skinny Latte (Any Flavour),Venti Nonfat Milk,160,0.3,0.2,0.0,10,200,24,0,21,15.0,25,0,50,0,150
1063,Signature Espresso Drinks,Caramel Macchiato,Short Nonfat Milk,100,1.0,0.5,0.0,5,70,17,0,15,6.0,10,0,15,0,75
1064,Signature Espresso Drinks,Caramel Macchiato,Short 2% Milk,120,4.0,2.0,0.1,15,80,16,0,15,5.0,10,0,15,0,75
1065,Signature Espresso Drinks,Caramel Macchiato,Short Soymilk,100,3.0,1.0,0.0,0,60,14,1,11,4.0,6,0,15,8,75
1066,Signature Espresso Drinks,Caramel Macchiato,Tall Nonfat Milk,140,1.0,0.5,0.0,5,105,25,0,24,8.0,15,0,25,0,75
1067,Signature Espresso Drinks,Caramel Macchiato,Tall 2% Milk,180,5.0,3.0,0.1,20,115,25,0,23,8.0,15,0,25,0,75
1068,Signature Espresso Drinks,Caramel Macchiato,Tall Soymilk,150,4.5,1.0,0.0,0,90,21,1,17,7.0,10,0,25,10,75
1069,Signature Espresso Drinks,Caramel Macchiato,Grande Nonfat Milk,190,1.0,1.0,0.0,10,130,35,0,32,11.0,20,0,35,0,150
1070,Signature Espresso Drinks,Caramel Macchiato,Grande 2% Milk,240,7.0,3.5,0.2,25,150,34,0,32,10.0,15,2,30,0,150
1071,Signature Espresso Drinks,Caramel Macchiato,Grande Soymilk,200,5.0,1.0,0.0,5,115,29,1,24,9.0,10,0,35,15,150
1072,Signature Espresso Drinks,Caramel Macchiato,Venti Nonfat Milk,240,1.0,1.0,0.0,10,170,43,0,41,13.0,25,0,40,0,150
1073,Signature Espresso Drinks,Caramel Macchiato,Venti 2% Milk,300,8.0,4.5,0.2,35,180,43,0,40,13.0,20,2,40,0,150
1074,Signature Espresso Drinks,Caramel Macchiato,Venti Soymilk,250,7.0,1.5,0.0,5,140,36,1,31,11.0,15,0,40,20,150
1075,Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Short Nonfat Milk,180,3.0,2.0,0.0,5,120,31,0,29,7.0,10,0,25,0,75
1076,Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Short 2% Milk,200,6.0,3.5,0.1,15,125,31,0,29,7.0,8,2,25,0,75
1077,Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Short Soymilk,180,5.0,2.5,0.0,0,110,28,1,25,6.0,6,0,25,8,75
1078,Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Tall Nonfat Milk,270,4.5,3.5,0.0,5,190,47,0,45,12.0,15,2,35,0,75
1079,Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Tall 2% Milk,310,9.0,6.0,0.1,20,200,46,0,44,11.0,15,2,35,0,75
1080,Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Tall Soymilk,280,8.0,3.5,0.0,0,170,42,1,39,10.0,10,2,35,10,75
1081,Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Grande Nonfat Milk,350,6.0,4.5,0.0,10,240,61,0,58,15.0,20,2,45,2,150
1082,Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Grande 2% Milk,400,11.0,7.0,0.2,25,250,61,0,58,15.0,15,2,45,0,150
1083,Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Grande Soymilk,370,10.0,5.0,0.0,0,220,56,1,51,13.0,10,2,45,15,150
1084,Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Venti Nonfat Milk,450,7.0,6.0,0.0,10,310,78,0,74,19.0,25,2,60,2,150
1085,Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Venti 2% Milk,510,15.0,9.0,0.2,35,330,77,0,74,19.0,20,4,60,2,150
1086,Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Venti Soymilk,460,13.0,6.0,0.0,5,290,70,1,64,16.0,15,2,60,20,150
1087,Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Short Nonfat Milk,130,1.5,1.0,0.0,5,70,26,1,23,7.0,10,0,20,10,10
1088,Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Short 2% Milk,150,4.5,2.5,0.1,15,80,26,1,22,7.0,10,0,20,10,10
1089,Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Short Soymilk,130,3.5,1.0,0.0,0,60,23,2,18,6.0,6,0,20,20,10
1090,Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Tall Nonfat Milk,190,2.0,1.0,0.0,5,110,37,1,32,11.0,15,0,30,20,20
1091,Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Tall 2% Milk,230,7.0,3.5,0.2,20,120,37,1,32,10.0,15,0,30,20,20
1092,Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Tall Soymilk,200,6.0,1.5,0.0,0,95,32,2,25,9.0,10,0,30,30,20
1093,Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Grande Nonfat Milk,240,2.5,1.5,0.0,5,140,48,2,41,14.0,20,0,40,25,25
1094,Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Grande 2% Milk,290,9.0,5.0,0.2,25,160,47,2,41,14.0,20,2,40,25,25
1095,Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Grande Soymilk,250,7.0,2.0,0.0,0,125,41,3,32,12.0,15,0,40,40,25
1096,Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Venti Nonfat Milk,320,3.0,2.0,0.0,10,180,63,2,55,18.0,25,0,50,30,30
1097,Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Venti 2% Milk,380,11.0,6.0,0.3,35,200,63,2,54,17.0,25,2,50,30,30
1098,Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Venti Soymilk,330,9.0,2.5,0.0,0,160,55,4,44,15.0,15,0,50,50,30
1099,Signature Espresso Drinks,Caramel Apple Spice (Without Whipped Cream),Short,140,0.0,0.0,0.0,0,10,35,0,33,0.0,0,0,0,0,0
1100,Signature Espresso Drinks,Caramel Apple Spice (Without Whipped Cream),Tall,210,0.0,0.0,0.0,0,15,53,0,49,0.0,0,0,0,0,0
1101,Signature Espresso Drinks,Caramel Apple Spice (Without Whipped Cream),Grande,280,0.0,0.0,0.0,0,20,70,0,65,0.0,0,0,0,0,0
1102,Signature Espresso Drinks,Caramel Apple Spice (Without Whipped Cream),Venti,360,0.0,0.0,0.0,0,25,89,0,83,0.0,0,0,0,0,0
1155,Shaken Iced Beverages,Iced Brewed Coffee (With Classic Syrup),Tall,60,0.0,0.0,0.0,0,4,15,0,15,0.2,0,0,0,0,120
1156,Shaken Iced Beverages,Iced Brewed Coffee (With Classic Syrup),Grande,90,0.1,0.0,0.0,0,5,21,0,21,0.3,0,0,0,0,165
1157,Shaken Iced Beverages,Iced Brewed Coffee (With Classic Syrup),Venti,130,0.1,0.0,0.0,0,5,31,0,31,0.4,0,0,0,0,235
1158,Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Tall Nonfat Milk,80,0.1,0.0,0.0,0,25,18,0,18,2.0,2,0,6,0,90
1159,Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Tall 2% Milk,90,1.0,0.5,0.0,5,25,18,0,18,2.0,2,0,6,0,90
1160,Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Tall Soymilk,80,1.0,0.1,0.0,0,20,17,0,17,2.0,2,0,6,0,90
1161,Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Grande Nonfat Milk,110,0.1,0.0,0.0,0,30,24,0,24,2.0,4,0,8,2,90
1162,Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Grande 2% Milk,120,1.5,0.5,0.0,5,35,24,0,24,2.0,4,0,8,0,125
1163,Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Grande Soymilk,110,1.0,0.1,0.0,0,30,23,0,22,2.0,2,0,8,0,125
1164,Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Venti Nonfat Milk,160,0.1,0.1,0.0,0,50,36,0,36,4.0,6,0,10,4,125
1165,Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Venti 2% Milk,180,2.0,1.0,0.1,10,55,36,0,36,4.0,6,0,10,0,170
1166,Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Venti Soymilk,170,1.5,0.2,0.0,0,45,34,0,33,3.0,4,0,10,0,170
1182,Frappuccino® Blended Coffee,Coffee,Tall Nonfat Milk,160,0.1,0.0,0.0,0,160,36,0,36,3.0,4,0,10,10,0
1183,Frappuccino® Blended Coffee,Coffee,Tall Whole Milk,180,2.5,1.5,0.1,10,160,36,0,36,3.0,4,0,8,0,70
1184,Frappuccino® Blended Coffee,Coffee,Tall Soymilk,160,1.5,0.2,0.0,0,150,35,0,34,2.0,4,0,10,0,70
1185,Frappuccino® Blended Coffee,Coffee,Grande Nonfat Milk,220,0.1,0.1,0.0,0,210,51,0,50,4.0,6,0,10,4,70
1186,Frappuccino® Blended Coffee,Coffee,Grande Whole Milk,240,3.0,2.0,0.1,10,220,50,0,50,3.0,4,0,10,0,95
1187,Frappuccino® Blended Coffee,Coffee,Grande Soymilk,220,1.5,0.2,0.0,0,210,49,0,47,3.0,4,0,10,0,95
1188,Frappuccino® Blended Coffee,Coffee,Venti Nonfat Milk,310,0.1,0.1,0.0,5,300,70,0,69,6.0,10,0,20,6,95
1189,Frappuccino® Blended Coffee,Coffee,Venti Whole Milk,350,5.0,3.0,0.2,15,300,70,0,69,5.0,8,0,15,2,130
